ward_id,ward_name,ward_number,ward_type,centroid_lon,centroid_lat,district,historical_annual_avg_mm,current_jan2026_mm,climate_normal_jan_mm,climate_normal_feb_mm,climate_normal_mar_mm,climate_normal_apr_mm,climate_normal_may_mm,climate_normal_jun_mm,climate_normal_jul_mm,climate_normal_aug_mm,climate_normal_sep_mm,climate_normal_oct_mm,climate_normal_nov_mm,climate_normal_dec_mm,rainfall_zone,is_urban_core,proximity_to_yamuna_km
DEL_173,DEOLI,173,MCD,77.2053253095,28.498159217,SOUTH DELHI,710.2,15.7,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,14.2
DEL_174,CHHATARPUR,174,MCD,77.1568522165,28.4965300955,SOUTH DELHI,710.2,15.7,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,15.0
DEL_175,AYA NAGAR,175,MCD,77.15480855,28.4475041575,SOUTH DELHI,710.2,15.7,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,18.5
DEL_176,BHATI,176,MCD,77.205455565,28.44981101,SOUTH DELHI,710.2,15.7,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,17.8
DEL_177,SAID UL AJAIB,177,MCD,77.225317316,28.4729457355,SOUTH DELHI,710.2,15.7,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,16.2
DEL_178,SANGAM VIHAR,178,MCD,77.223367972,28.4849326425,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,14.5
DEL_179,TIGRI,179,MCD,77.2292564285,28.500387287,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,13.8
DEL_180,DAKSHINPURI EXT.,180,MCD,77.240804272,28.526775829,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,12.0
DEL_181,KHANPUR,181,MCD,77.224850192,28.5108747655,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,13.2
DEL_182,AMBEDKAR NAGAR,182,MCD,77.2326116365,28.5166256535,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,12.5
DEL_183,MADANGIR,183,MCD,77.2352212425,28.520548553,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,12.2
DEL_184,PUSHP VIHAR,184,MCD,77.2239743345,28.5243644575,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,12.8
DEL_185,TUGHLAKABAD EXTN,185,MCD,77.2510091335,28.5170318005,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,11.5
DEL_186,SANGAM VIHAR WEST,186,MCD,77.2494954725,28.4940473365,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,13.5
DEL_187,SANGAM VIHAR CENTRAL,187,MCD,77.2516020215,28.4940048465,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,13.8
DEL_188,SANGAM VIHAR EAST,188,MCD,77.2605537335,28.498670019,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,13.2
DEL_189,CHIRAG DELHI,189,MCD,77.2345295395,28.5343049575,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,1,10.5
DEL_190,CHITRANJAN PARK,190,MCD,77.249464031,28.5331602995,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,1,10.0
DEL_191,SHAPUR JAT,191,MCD,77.2268848765,28.542709101,SOUTH DELHI,710.2,15.7,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,1,9.5
DEL_192,GREATER KAILASH-I,192,MCD,77.244545755,28.5522931405,SOUTH DELHI,710.2,15.7,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,1,8.2
DEL_193,SRI NIWASPURI,193,MCD,77.2684633995,28.559953817,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,1,7.5
DEL_194,EAST OF KAILASH,194,MCD,77.258496591,28.5511448,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,1,8.5
DEL_195,GOVIND PURI,195,MCD,77.2623683305,28.5307142055,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,1,10.2
DEL_196,KALKAJI,196,MCD,77.2603830535,28.538053622,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,1,9.0
DEL_197,TUGHLAKABAD,197,MCD,77.2768356975,28.5156535185,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,11.8
DEL_198,PUL PEHLAD,198,MCD,77.2818033815,28.4958598385,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,13.5
DEL_199,TEKHAND,199,MCD,77.2859895305,28.5120805685,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,12.2
DEL_200,HARKESH NAGAR,200,MCD,77.275393902,28.5403696805,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,1,9.5
DEL_201,JAITPUR,201,MCD,77.32807111,28.509264578,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,10.5
DEL_202,MEETHEYPUR,202,MCD,77.3252054845,28.496104631,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,12.0
DEL_203,BADAR PUR,203,MCD,77.3042388055,28.501882979,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,11.2
DEL_204,MOLARBAND,204,MCD,77.311919401,28.4959543465,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,11.8
DEL_205,ZAKIR NAGAR,205,MCD,77.27803944,28.571938965,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,1,8.0
DEL_206,OKHLA,206,MCD,77.284116543,28.560313318,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,1,7.2
DEL_207,MADANPUR KHADAR,207,MCD,77.3204444135,28.5249913795,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,9.5
DEL_208,SARITA VIHAR,208,MCD,77.3040501595,28.536478395,SOUTH EAST DELHI,720.9,20.4,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,South,0,10.2
DEL_209,MAYUR VIHAR PHASE-I,209,MCD,77.300569188,28.604318893,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,4.2
DEL_210,DALLOPURA,210,MCD,77.312665003,28.6082505395,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,3.8
DEL_211,TRILOK PURI,211,MCD,77.288679985,28.5967425105,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,4.5
DEL_212,NEW ASHOK NAGAR,212,MCD,77.302868875,28.594771583,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,4.0
DEL_213,KALYAN PURI,213,MCD,77.3153285075,28.6157268235,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,3.2
DEL_214,KHICHRIPUR,214,MCD,77.3206959415,28.613170174,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,3.5
DEL_215,KONDLI,215,MCD,77.3317047955,28.6110736585,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,3.0
DEL_216,GHAROLI,216,MCD,77.334772542,28.61761103,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,2.8
DEL_217,VINOD NAGAR,217,MCD,77.295111922,28.622248159,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,4.8
DEL_218,MANDAWALI,218,MCD,77.295399383,28.6289464875,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,4.2
DEL_219,MAYUR VIHAR PHASE II,219,MCD,77.304863135,28.6199218135,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,3.5
DEL_220,PATPARGANJ,220,MCD,77.2900409325,28.6090546745,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,4.5
DEL_221,KISHAN KUNJ,221,MCD,77.2727169225,28.635845464,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,3.0
DEL_222,LAXMI NAGAR,222,MCD,77.279544118,28.637540714,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,2.5
DEL_223,SHAKARPUR,223,MCD,77.28536071,28.628280144,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,3.2
